daytype,ridership,date,route,month_beginning,routename,avg_saturday_rides,avg_sunday_holiday_rides,monthtotal,avg_weekday_rides
W,5932,2001-01-02,71,2001-01-01,71st/South Shore,5565.3,3119.0,194863.0,7136.7
W,2445,2001-01-03,37,2001-01-01,Sedgwick,0.0,0.0,55014.0,2500.6
W,25393,2001-01-03,9,2001-01-01,Ashland,22621.7,15336.1,811006.0,29265.4
W,403,2001-01-03,56A,2001-01-01,North Milwaukee,0.0,0.0,11938.0,568.5
W,4096,2001-01-03,73,2001-01-01,Armitage,2688.6,1372.4,127491.0,4994.3
W,2777,2001-01-04,112,2001-01-01,Vincennes/111th,1439.3,935.1,95661.0,3874.0
W,21114,2001-01-04,49,2001-01-01,Western,20598.9,12432.2,666662.0,23732.1
U,923,2001-01-01,73,2001-01-01,Armitage,2688.6,1372.4,127491.0,4994.3
W,19299,2001-01-03,53,2001-01-01,Pulaski,15984.4,9466.2,589242.0,21726.0
W,631,2001-01-05,2,2001-01-01,Hyde Park Express,0.0,0.0,22001.0,1000.0
U,7087,2001-01-01,77,2001-01-01,Belmont,12733.9,8400.0,529774.0,19856.3
W,1523,2001-01-02,18,2001-01-01,16th/18th,898.5,642.3,49130.0,1923.8
W,19628,2001-01-04,66,2001-01-01,Chicago,13332.8,8478.8,557759.0,21001.5
W,2929,2001-01-02,97,2001-01-01,Skokie,2066.7,1167.5,95096.0,3681.4
U,1463,2001-01-01,44,2001-01-01,Wallace-Racine,2696.0,1564.6,162910.0,6559.2
W,6524,2001-01-02,65,2001-01-01,Grand,3173.9,1805.7,169020.0,6695.3
U,1526,2001-01-01,35,2001-01-01,35th,3342.5,1810.1,153931.0,5977.7
U,2484,2001-01-01,75,2001-01-01,74th-75th,4725.3,2795.5,188676.0,7081.7
W,6121,2001-01-02,145,2001-01-01,Wilson/Michigan Express,4110.5,1831.2,203232.0,8074.3
W,5159,2001-01-04,95W,2001-01-01,West 95th,4526.5,2556.7,144468.0,5162.6
W,8858,2001-01-04,146,2001-01-01,Inner Drive/Michigan Express,5362.4,3117.4,242849.0,9355.1
W,759,2001-01-02,122,2001-01-01,Illinois Center/Ogilvie Express,0.0,0.0,24705.0,1122.9
U,843,2001-01-01,84,2001-01-01,Peterson,2418.1,1145.6,111265.0,4357.5
W,786,2001-01-03,48,2001-01-01,South Damen,0.0,0.0,24654.0,1120.6
W,3803,2001-01-02,27,2001-01-01,South Deering,2984.1,2423.6,147904.0,5629.5
U,311,2001-01-01,43,2001-01-01,43rd,679.3,354.8,34213.0,1351.0
W,9845,2001-01-03,28,2001-01-01,Stony Island,11269.6,5587.8,336246.0,11964.9
W,14423,2001-01-02,82,2001-01-01,Kimball-Homan,11451.6,6745.8,511235.0,19622.7
W,7731,2001-01-03,145,2001-01-01,Wilson/Michigan Express,4110.5,1831.2,203232.0,8074.3
W,221,2001-01-02,170,2001-01-01,U. of Chicago/Midway,0.0,0.0,6315.0,287.1
W,13977,2001-01-02,36,2001-01-01,Broadway,13898.6,8687.4,436950.0,15360.0
W,753,2001-01-04,48,2001-01-01,South Damen,0.0,0.0,24654.0,1120.6
W,1831,2001-01-04,81W,2001-01-01,West Lawrence,837.2,337.6,39738.0,1577.3
W,17914,2001-01-02,20,2001-01-01,Madison,12804.3,8184.0,566683.0,21570.3
W,8918,2001-01-03,70,2001-01-01,Division,7625.8,5264.0,301077.0,11102.5
W,19558,2001-01-02,22,2001-01-01,Clark,14634.5,10462.2,577386.0,21206.2
U,2540,2001-01-01,94,2001-01-01,South California,4792.6,3467.0,269786.0,10603.7
W,5813,2001-01-02,1,2001-01-01,Indiana/Hyde Park,0.0,0.0,153617.0,6982.6
W,3510,2001-01-03,90,2001-01-01,Harlem,3002.1,1382.3,104289.0,3880.4
U,3678,2001-01-01,12,2001-01-01,Roosevelt,6950.6,4691.0,288055.0,10763.5
W,2417,2001-01-04,135,2001-01-01,Clarendon/LaSalle Express,0.0,0.0,57669.0,2621.3
W,629,2001-01-02,2,2001-01-01,Hyde Park Express,0.0,0.0,22001.0,1000.0
W,8399,2001-01-04,78,2001-01-01,Montrose,5826.3,3274.2,235297.0,8891.8
W,14868,2001-01-03,72,2001-01-01,North,11359.3,6853.7,418889.0,15417.4
U,7354,2001-01-01,3,2001-01-01,King Drive,13210.7,8725.3,567413.0,21406.5
W,2100,2001-01-02,103,2001-01-01,West 103rd,1564.8,1071.0,93121.0,3704.9
W,16656,2001-01-05,29,2001-01-01,State,12511.5,8537.9,451955.0,16328.2
W,13997,2001-01-02,29,2001-01-01,State,12511.5,8537.9,451955.0,16328.2
U,4355,2001-01-01,62,2001-01-01,Archer,6856.3,4667.4,379135.0,14926.0
W,6063,2001-01-03,65,2001-01-01,Grand,3173.9,1805.7,169020.0,6695.3
W,223,2001-01-02,90N,2001-01-01,North Harlem,98.7,0.0,7412.0,318.9
W,6679,2001-01-04,53A,2001-01-01,South Pulaski,3198.0,1417.1,218700.0,9037.4
